cerbon,bebasan,indonesia
adon-adon,adon-adon,adonan
adu,aben,adu sabung
adu arep,aben ajeng,berhadapan
adus,siram,mandi
agama,agami,agama
age,mangga,silakan
age-age,enggal-enggal,cepat-cepat
agi,saweg,sedang
agrong,agrong,bergema
aja,sampun,jangan
ajang,ambeng,tempat nasi
ajar,ajar,ajar
ajeg,tetep,tetap
ajer,ajer,berseri
ajir,ajir,tonggak
akas,akas,keras
akeh,katah,banyak
aksara,aksara,huruf
aku,kula dalem,aku
aku-aku,ngangken,mengaku
akur,akur,bersatu
akur,akur,setuju
ala (blesak),awon,buruk
alamat,alamat,alamat
alangan,pambengan,rintangan
abab,abab,bau mulut
abah,abah,ayah
aban,suwanten,suara
abang,abrit,merah
abang branang,abrit pindah,merah sekali
abang-abang lambe,abang-abang lambe,basa-basi
abekan,tilasan,bekasan
abek,tilas,bekas
abong-abong,kediran,kediran
abot,abot,berat
abuh,abuh,bengkak
abyor,abyor,gemerlap
acak-acakan,acak-acakan,semrawut
acan,dereng,belum
adag-udug,adag-udug,sombong
adang,adang,menanak nasi
adem,adem,dingin
adep-adepan,aben ajeng,berhadapan
adi,adi,adik
adil,adil,adil
adoh,tebih,jauh
adol,wade,jual
alap,susul,jemput
alas,wana,hutan
alasan,daharan,makan
alat,pekakas,perkakas
alem,alem,sanjung
aleman,aleman,kolokan
alesan,alesan,alasan
ali-ali,ali-ali,cincin
alih,pindah,pindah
alim,alim,kalem
ling-aling,aling-aling,kijab tutup
alis,imba,alis
aluk,milih,pilih
aluk,nyukani sumerap,memberitahu
alon,alon,perlahan
alu,alu,antan
alus,alus,halus
ama,ama,hama
aman,aman,aman
amanat,amanat,pesan
amba,wiyar,luas
ambal,tingkat,tingkat
ambekan,ambekan,napas
ambeke,kepengene,keinginannya
ambir,supados,agar
ambiran,supados,agar
amblas,teras,terus
ambles,ambles,ambles
ambrek,ambrek,ambruk
ambrol,ambrol,ambrol
ambu,ambet,bau
ambung,ambeng,cium
amis,amis,anyir
amit,nuwun sewu,permisi
amoh,amoh,lunak
ampas,ampas,ampas
ampenan,sampe,hingga
ampo,ampo,ampo
amuk,amuk,marah
ana,wonten,ada
anak,putra,putra
anak kuwalon,anak kuwalon,anak tiri
anak pupon,anak pupon,anak angkat
anak-anakan,golek,boneka
apes,apes,naas
apu,njet,kapur sirih
arak,arak,arak
aran,nami asma,nama
arang,awis,jarang
areng,areng,arang
arep (ring arep),ajeng,depan
garep,bade,akan
arit,arit,sabt
arti,artos,arti
asah,asah,asah
asal,asal,mula
asat,asat,surut
asem,asem,,asam
asin,asin,asin
asli,asli,asli
esor,andap,bawah
asrep,asrep,tawar
asu,segawon,asu
atawa,atawi atanapi,atau
anter,antuk,antar
ati,manah,kalbu
ati-ati,atos-atos,hati-hati
atis,atis,dingin
atob,atob,sehdawa
atos,atos,keras
atur,atur,mengatur
aturan,aturan,aturan
atur-atur,ngaturi,mengundang
aub,aub,naung
awak,salira,tubuh
awal,awal,awal mula
awan,siang,siang
awangan,awangan,dikte
awang-awang,awang-awang,langit
awang-awangenawang-awangen,awang-awangenawang-awangen,ragu-ragu
awe-awe,awe-awe,mengundang
awe,maringi,memberi
oli,angsal,boleh
awe weruh,nyukani sumerap,memberi tahu
awit,milai,mulai
awu,awu,abu
ayak,ayak,saring
ayam,sawung,ayam
ayan,ayan,ayan
ayom,ayom,naung
ayu,ayu,cantik
ayu (ayo),mangga,mari
ayun,geyong,geong ayun
babad,babad,babat (membabat)
babad,cerita,cerita
babar,pesta,selesai tuntas
babar,lair,lahir
babi,babi,babi
babon,bibitan,induk ayam
babu,babu,pembantu
bae,mawon,saja
bagen,kersane,biar
bagian,bagian,bagian
bagus,sae,baik
nggal,menawi,umpama
bakal,bakal,bakal
bako,sata,tembakau
bakti,baktos,bakti
bakul,bakul,bakul
bakulan,tiyang sadean,penjual
bal,bola,bola
balap,santer,cepat
balapan,balapan,berlomba
balik,kondur,kembali
balung,tosan,tulang
banget,pindah,sangat
bangsa,bangsa,bangsa
banjir,banjir,bah
banjur,nunten,lak
banyak,angsa,angsa
banyu,toya,air
banyu asin,toya asin,air asin
banyu asrep,toya tawar,air tawar
banyu mata,banyu mata,air mata
banyu mil,toya mili,air mengalir
bape,bapa,ayah
barang,barang,barang
bareng,sareng,bersana
ban (karoo),kaliyan,dengan
bari (supaya),supados,agar
bata,banon,bata
batang,batang,bangkai
bati,bati,untung
batin,batos,batin
batonan,batonan,gabungan
batuk,palarapan,dahi
batur,rencang,kawan
bawang,brambang,bawang
bebanyu,tetoya,berak
bebasuh,nyuci,mencuci
bebek,kambangan,bebek
bebel,bebel,bebel
bebenah,beberes,beres-beres
bebersih,bebersih,bersih-bersih
beda,benten,beda
bekas,tilas,bekas
beli,boten,tidak
beling,beling,kaca
belok,belok,kotor
beluk,timbali,panggil
bener,leres,benar
sengiyen,sengiyen,dahulu
bengi,dalu,malam
bengkok,bengkok,bengkok
bening,bening,jernih
bentuk,bentuk,bentuk
beras,uwos,beras
besuk,benjang,kelak
besuk,tilik,tengok
betah,betah kerasan,betah
bisa,saged,bisa dapat
blenak,boten eca,tidak enak
blesak,boten sae,buruk
bloli,boten angsal,tidak dapat
bobad,bobad,dusta
bocah,lare,anak-anak
bodoh,bodoh,dungu
bojo,garwa,istri atau suami
bokat,menawi,barangkali
bokong,bocong,pantat
bola,benang,benang
bonggan,bonggan,bonggan
bonggan dewek,bonggan piyambek,salah sendiri
boreh,konyoh,bedak
bosen,bosen,jenuh
boyok,pamekak,pinggang
bubar,bibar,bubar
bubur,bubur,bubur
budal,bubar,bubar
bujuk,bujuk,rayu
bujukan,bujukan,rayuan
buka,bika,buka
bukti,buktos,bukti
bungah,bingah,gembira
cacak,cobi,coba
candak,cepeng,tang kap
cangkem,tutuk,mulut
caplok,dahar,makan
caturan,ngendikan,omongan
cecek,cecek,sawiya
cedak,caket,dekat
srog,mangga,silakan
cegcegan,astaan,pegangan
ecegen,cepengen,pegang
cekak,cekak,pendek
cekel,asta,pegang
celana,lancingan,celana
undang,timbali,panggil
cendek,pandak,pandak
cengel,griwa,leher
gage,enggal,cepat
ceper,ceper,rata
cerita,ngandika,cerita
ceroboh,ceroboh,gegabah
cewok,cawik,cebok
coba,cobi,coba
cocog,cocog,cocok
contoh,contoh,tulada
coplok,coplok,coplok
cukul,cukul,tumbuh
cukup,cekap,cukup
cukur,paras,cukur
culik,mendet ngrihin,mengambil duluan
culik,culik,culik (menculik)
cuma (cuman),cumi,cuma
cungi (wedian),ajrih,takut
cungur,irung grana,hidung
cunteng,pandeng,pandang
cupet,cupet,beku
cutlik,cutik,dijauhkan
dada,jaja,dada
dadi,dados,jadi
daerah,daerah,daerah
dagang,wade,dagang
dagangan,wadean,berdagang
daging,daging,daging
dakat,dakat,sekalipun
dalan,margi,jalan
dalang,dalang,dalang
damar,damar,pelita
dami,dami,jerami
danas,danas,nanas
dandan,dangdos,berpakaian
dandanan,dangdosan,pakaian
dangdan,bebenah,memperbaiki
dasar,dasar,dasar
dawa,panjang,panjang
dayoh,tamu,tamu
dedangdan,dedangdos,memperbaiki
dekete,kagungane,kepunyaan
delamakan,samparan,telapak kaki
deleng,priksa,lihat
demen,remen,cinta
demenan,remenan,kekasih
dengki,dengki,iri
dengkul,jengku,lutut
derep,mugut,tuai
dermaga,dermagi,jalan
desa,desa,desa
dewek,piyambek,sendiri
dewekan,piyambekan,sendirian
deweke,piyambeke,dia
diadu,diaben,diadu
diajeni,dihormati,dihormati
dialem,dialem,dipuji disanjung
dialokaken,disukani sumerep,diberitahu
dika,panjenengan,anda
dikit,rumiyin,dahulu
dikon,dikengken,diutus
dikubur,dipetak,dikubur
dikum (diekum),diekum,direndam
dikumbah,dicuci,dicuci
dina,dinten,harn
ditalangi,ditalangi,diganti
dlamakan,samparan,telapak kaki
dodok (lunggun),pinarak,duduk
dodokan,lenggahan,duduk-duduk
dodokan,palenggahan,tempat duduk
dodol,wade,jual
dolan,dolan,main
dolanan,dolanan,bermain
doyan,kersa,doyan
driji (derij),racikan,jari-jari
dudu,dede,bukan
duku (buah),duku,duku
dukuh,kampung,kampung
dukun,dukun,dukun
duren,duren,durian
durung,dereng,belum
durung acan,dereng acan,belum sama sekali
duwe,kagungan,punya
duwit,yatra,uang
duwur,inggil,tinggi
edan,edan,gila
eling (kelingan),emut,ingat
eling (sadar),eling,sadar
elong ( long),kirangi,kurangi
elor,ler,utara
elos (los),mangga,silakan
eman,eman,sayang
emben,emben,lusa
embok,ema,lbu
embok enom,embok nem,lbu tiri
embok kuwalon,lbu kwalon,ibu tiri
embok tuwa,embah,nenek
embuh,duka,entah
embun-embunan,embun-embunan,ubuh-ubun
empal,empal,gulai
enak-(ngupai),sukani,beri (memberi)
enak-(nikmat),eca,lezat
enakaken,sukakaken,berikan
encung,terong,terung
endas,mestaka,kepala
endep,andap,rendah
endi,pundi,mana
endog,tigan,telur
enggo,agem,pakai
enggon,enggen,tempat
engko,mengkin,nanti
engon,angen,menggembala
enteng,enteng,ringan
enteni,entosi,tunggu
entog,entog,itik
entok,telas,habis
enyang,awis,tawar
epek-epek,epek-epek,telapak tangan
eran,eran,ganjil
eri,eri,onak
esod,esod,esod
esor,andap,bawah
esuk,enjing,pagi
etung,etang,hitung
gabah,gabah,gabah
gabeng,enteng,entengringan
gabug,gabug,gabuk
gabung,gabung,gabung
gage,enggal,cepat
gagiyan,enggal-enggal,cepat-cepat
gajah,liman,gajah
galak,galak,buas
gampang,gampil,gampang mudah
gancang,enggal,cepat
ganjar,bales,balas
ganjen,ganjen,centil
ganti,gantos,ganti
gantian,gantosan,gantian
garap,ngasta,garap
garing,garing kering,kering
gatel,gatel,gatal
gawa,bakta,bawa
gawan,astaan,bawaan
gawe,damel,membuat
gedang,pisang,pisang
gede,ageng,agung
gedong,gedong,gedung
geger,geger,onar
gegulat,madosi,mencari
gelang,binggel,gelang
gelas,gelas,gelas
gelem,kersa,mau
gelis,enggal,cepat
gelung,ukel,sanggul
gemuyu,gemujeng,tertawa
gena,panggenan,tempat
gena lair,panggenan lair,tempat lahir
gena turu,panggenan sare,tempat tidur
genau,blajar,belajar
geni,brama,api
gerak,gerak,gerak
gering ( kuru),kuru,kurus
gering (sakit),gerah,sakit
gerus,gerus,tumbuk
getih,rah,darah
geting,geting,daki
getun,getun,menyesal
gigir,pengkeran,punggung
giguh,jember,jijik
gila,gila,jijik dan takut
gleleng,leson,tiduran
glepung,glepung,tepung
godog,godog,rebus
godong,ron,daun
golek,golek,boneka
golet,ngilari,carn
golong-golong,golong-golong,baris
gorek,gorek,mencarin
goroh,goroh,dusta
gorong-gorong,gorong-gorong,gorong-gorong
grembelan,grembelan,kerompodlan
grigis,grigis,gerimis
gula,gendis,gula
gegulat,llar,can
gulu,jangga,leher
gulung,gulung,gulung
buri,pengker,belakang
gurih,raos,enak
guru,gunu,guru
guwa,guwa,goa
guwang,birat,buang
lbarat,ibarat,ibarat
lbu,bu,lbu
idep,ibing,bulu mata
lduh,kecoh,ludah
lga,nika,itu
ga (rusuk),iga,rusuk
igi,nikiyen,ini
igu,nikuwen,itu
ljo,ljem,hijau
jjon,renten,rente
ika,nika,itu
iket,destar,ikat kepala
iki,nikiyen,ini
iku,nikuwen,itu
llang,ical,raib
llat,lidah,lidah
imbu,imbu,peran
imbuh (tambah),tambih,tambah
indang-indang,indang-indang,penutup
inep,nyare,minap
ing (ning),dateng,di
inget,kemutan,ingat
inggir,inggir,sebelah
ingon,klangenan,peliharaan
inum,unjuk,minum
ira,panjenengan,kamu ianda
ireng,cemeng,hitam
