,0
0,ibu
1,bikin
2,isinya
3,mengedukasi
4,terendam
5,sulit
6,mempercayai
7,starbucks
8,bisa
9,banget
10,kalian
11,bisa
12,tanpa
13,ibu
14,semakin
15,semakin
16,memiliki
17,besar
18,berwarna
19,saya
20,merupakan
21,seorang
22,net
23,tv
24,indomie
25,ditemukan
26,terdekat
27,sulit
28,selalu
29,ratarata
30,membuka
31,adalah
32,penyebab
33,gue
34,tiap
35,hari
36,gue
37,kasih
38,loe
39,bisa
40,dikunjungi
41,ditunggu
42,dikasih
43,biasa
44,oleh
45,saya
46,bikin
47,membuka
48,cabangnya
49,melelahkan
50,rasanya
51,lo
52,dunia
53,oon
54,dikabarkan
55,terlalu
56,jelas
57,menggangu
58,temanku
59,melamar
60,terpercaya
61,saat
62,sulit
63,sulit
64,pastikan
65,bernama
66,terbarunya
67,melelahkan
68,beberkan
69,memiliki
70,berbagai
71,jenis
72,berubah
73,adikku
74,diterima
75,mereka
76,indominya
77,teman
78,saya
79,dunia
80,penuh
81,kebanyakan
82,sulit
83,butuh
84,benarbenar
85,real
86,memesan
87,saya
88,melelahkan
89,saya
90,mencintaimu
91,temukan
92,nyatanya
93,sebesar
94,bapak
95,lebat
96,menggunakan
97,malas
98,suka
99,bikin
100,senin
101,parah
102,dan
103,kami
104,temanku
